,idleft,lang,reply_settings,text,source,edit_history_tweet_ids,author_id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,withheld.scope,geo.coordinates.type,geo.coordinates.coordinates,type,idright
65,1603177854895808512,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603177854895808512'],90687549,1603177854895808512,2022-12-14T23:59:20.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
66,1603177770066055170,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter for Android,['1603177770066055170'],94679697,1603177770066055170,2022-12-14T23:59:00.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
67,1603177765351694338,pt,everyone,"RT @marciatiburi: Os terroristas em Brasília criaram a mentira do “infiltrado”,pois mentir é essencial para o avanço de seus empreendimento…",Twitter for Android,['1603177765351694338'],2427728022,1603177765351694338,2022-12-14T23:58:59.000Z,501,0,0,0,,,,,,,,retweeted,1602954179890257923
68,1603177724289261568,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603177724289261568'],1469762329327935495,1603177724289261568,2022-12-14T23:58:49.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
69,1603177720208310272,pt,everyone,"@JA59215331 @odiodobeem @andrizek Qntos governantes negligenciaram vacina, estimularam o uso de Cloroquina e aglomeração?",Twitter for Android,['1603177720208310272'],1321877809363587073,1602734505814626304,2022-12-14T23:58:48.000Z,0,0,0,0,1587704175873359874,,,,,,,replied_to,1603159903639683075
70,1603177709919690752,es,everyone,"@denise47613384 A vacina da Covid salva vidas!
😏",Twitter for Android,['1603177709919690752'],1582007186665922561,1603174077107142660,2022-12-14T23:58:46.000Z,0,0,0,0,979468154488442882,,,,,,,replied_to,1603174077107142660
71,1603177675807490051,pt,everyone,"RT @chris_banida: NÃO TOME AS ""VACINAS"" CONTRA COVID! Saiba o que acontece no seu organismo com cada uma delas!
A"" GENÉTICA ASTRAZENECA- TE…",Twitter Web App,['1603177675807490051'],2245224218,1603177675807490051,2022-12-14T23:58:38.000Z,24,0,0,0,,,,,,,,retweeted,1603013453853106177
72,1603177669826588672,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter for Android,['1603177669826588672'],1519686546856849408,1603177669826588672,2022-12-14T23:58:36.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
73,1603177659864866816,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter Web App,['1603177659864866816'],1251222802939682816,1603177659864866816,2022-12-14T23:58:34.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
74,1603177655662256130,pt,everyone,Vacinação contra covid-19 segue nesta quinta-feira em Salvador https://t.co/MnMIAEjfkF,Mundiware Elite CS,['1603177655662256130'],97281059,1603177655662256130,2022-12-14T23:58:33.000Z,0,1,0,0,,,,,,,,,
75,1603177644694331392,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603177644694331392'],1479238801922924547,1603177644694331392,2022-12-14T23:58:30.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
76,1603177597319479297,pt,everyone,"RT @marciatiburi: Os terroristas em Brasília criaram a mentira do “infiltrado”,pois mentir é essencial para o avanço de seus empreendimento…",Twitter Web App,['1603177597319479297'],1471558589810630656,1603177597319479297,2022-12-14T23:58:19.000Z,501,0,0,0,,,,,,,,retweeted,1602954179890257923
